['管仲', [-725, -645]]
['屈大均', [1630, 1696]]
['陸隴其', [1630, 1692]]
['季振宜', [1630]]
['顧祖禹', [1631, 1692]]
['徐乾學', [1631, 1694]]
['吳兆騫', [1631, 1684]]
['胡渭', [1633, 1714]]
['梅文鼎', [1633, 1721]]
['惲壽平', [1633, 1690]]
['方中通', [1634, 1698]]
['王士禎', [1634, 1711]]
['顏元', [1635, 1704]]
['褚人穫', [1635]]
['徐釚', [1636, 1708]]
['閻若璩', [1636, 1704]]
['邵長蘅', [1637, 1704]]
['熊賜履', [1637, 1709]]
['秦松齡', [1637, 1714]]
['陳廷敬', [1638, 1712]]
['萬斯同', [1638, 1702]]
['蒲松齡', [1640, 1715]]
['吳之振', [1640, 1717]]
['李光地', [1642, 1718]]
['王原祁', [1642, 1715]]
['張玉書', [1642, 1711]]
['凌紹雯', [1643, 1713]]
['吳雯', [1644, 1704]]
['廖燕', [1644, 1705]]
['趙申喬', [1644, 1720]]
['郁永河', [1645]]
['洪昇', [1645, 1704]]
['高士奇', [1645, 1703]]
['王掞', [1645, 1728]]
['潘耒', [1646, 1708]]
['孔尚任', [1648, 1718]]
['戴梓', [1649, 1726]]
['查慎行', [1650, 1727]]
['楊致和', [1650]]
['陳元龍', [1652, 1736]]
['王崇炳', [1653, 1739]]
['聖祖仁皇帝', [1654, 1722]]
['莊廷鑨', [1655]]
['徐逢吉', [1656, 1740]]
['陳璸', [1656, 1718]]
['孔毓圻', [1657, 1723]]
['李塨', [1659, 1733]]
['何焯', [1661, 1722]]
['趙執信', [1662, 1744]]
['王奕清', [1664, 1737]]
['吳士玉', [1665, 1733]]
['儲大文', [1665, 1743]]
['朱軾', [1665, 1736]]
['黃之雋', [1668, 1748]]
['方苞', [1668, 1749]]
['王懋竑', [1668, 1741]]
['顧嗣立', [1669, 1722]]
['惠士奇', [1671, 1741]]
['黃叔琳', [1672, 1756]]
['李紱', [1673, 1750]]
['高其倬', [1676, 1738]]
['鄂爾泰', [1677, 1745]]
['陳邦彥', [1678, 1752]]
['顧棟高', [1679, 1759]]
['年羹堯', [1680, 1726]]
['薛雪', [1681, 1770]]
['來保', [1681, 1764]]
['馮昌奕', [1681]]
['蔡世遠', [1682, 1733]]
['黄叔璥', [1682, 1758]]
['黃叔璥', [1682, 1758]]
['董國祥', [1683]]
['紀容舒', [1685, 1764]]
['阿克敦', [1685, 1756]]
['沈起元', [1685, 1763]]
['鄒一桂', [1686, 1772]]
['李鍇', [1686, 1746]]
['馬曰琯', [1688, 1755]]
['張照', [1691, 1745]]
['程廷祚', [1691, 1767]]
['厲鶚', [1692, 1752]]
['鄭方坤', [1693]]
['允禄', [1695, 1767]]
['潘思榘', [1695, 1752]]
['允祿', [1695, 1767]]
['杭世駿', [1696, 1773]]
['陳宏謀', [1696, 1771]]
['方觀承', [1696, 1768]]
['夏之蓉', [1697, 1784]]
['惠棟', [1697, 1758]]
['梁詩正', [1697, 1763]]
['劉統勳', [1700, 1773]]
['沈大成', [1700, 1775]]
['吳敬梓', [1701, 1754]]
